price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,sqft_living15,sqft_lot15
188500,2,1.75,1240,2493,1,0,0,4,8,1240,0,1985,1270,4966
680000,4,2.5,3140,28037,2,0,0,4,10,3140,0,1991,2990,35001
470000,5,1.75,2030,12342,2,0,0,4,7,2030,0,1942,2500,9433
597750,4,2.5,2310,9624,2,0,0,3,8,2310,0,1984,1940,9636
570000,3,1.75,1260,3328,1,0,0,5,6,700,560,1905,1380,3536
272500,3,1.75,1540,12600,1,0,0,4,7,1160,380,1980,1540,11656
329950,3,1.75,2080,5969,1,0,2,3,7,1080,1000,1971,2090,5500
480000,4,2.5,3230,16171,2,0,3,3,9,2520,710,2001,2640,8517
740500,3,3.5,4380,6350,2,0,0,3,8,2780,1600,1900,1830,6350
518500,3,3.5,1590,1102,3,0,0,3,8,1590,0,2010,1620,3166
205425,2,1,880,6780,1,0,0,4,6,880,0,1945,1190,6780
171800,4,2,1570,9600,1,0,0,3,6,1570,0,1950,1880,9000
535000,4,1,1610,2982,1.5,0,0,4,7,1610,0,1925,1610,4040
660000,3,2.5,2400,6474,1,0,2,3,8,1560,840,1964,2340,10856
391500,3,2,1450,9132,1,0,0,3,7,1450,0,1987,1580,9104
395000,2,1,770,6000,1,0,0,3,6,770,0,1953,1710,6000
445000,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1924,1850,4400
770000,3,2.25,2910,10204,2,0,0,3,9,2910,0,1990,2700,13992
1.45E+06,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,1914,3060,11275
445000,3,2.25,2100,8201,1,0,2,3,8,1620,480,1967,2660,8712
260000,4,2.25,2160,8811,1,0,0,3,8,1360,800,1978,2090,8400
822500,5,3.5,2320,4960,2,0,0,5,7,1720,600,1926,1700,4960
430000,4,2.5,2070,4310,2,0,0,3,7,2070,0,2004,1970,3748
212000,3,1.75,1060,7875,1,0,0,4,7,1060,0,1986,1420,7680
660500,4,2.25,2010,9603,1,0,0,3,8,1440,570,1986,2060,9793
784000,3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,1989,2480,88500
453246,3,2.5,2010,2287,2,0,0,3,8,1390,620,2014,1690,1662
675000,4,3.5,2140,2278,3,0,0,3,9,2140,0,2005,1540,2285
199000,3,1.75,1320,17390,1,0,0,4,7,1320,0,1956,1550,19265
220000,4,1.75,2020,7840,1,0,0,3,7,1010,1010,1968,1750,8140
452000,4,2.25,2590,10002,1,0,0,4,8,1340,1250,1968,1550,10436
382500,2,1,1190,4440,1,0,0,3,6,1190,0,1981,1060,5715
519950,3,2.25,1170,1249,3,0,0,3,8,1170,0,2014,1350,1310
665000,2,1,1110,3200,1,0,0,3,7,1110,0,1925,1170,3600
527700,5,2.5,2820,9375,1,0,0,4,8,1550,1270,1968,2820,9375
205000,3,1,1610,8579,1,0,0,4,7,1010,600,1962,1610,8579
420000,3,1,1060,8097,1,0,0,4,7,940,120,1923,1560,7940
500000,4,2.25,2030,8517,1,0,0,4,8,1380,650,1961,2230,8824
921500,4,2.5,3670,315374,2,0,0,4,9,3670,0,1994,2840,87991
890000,4,1,2550,4000,2,0,0,3,8,2370,180,1905,2200,4000
430000,2,2.5,2420,60984,2,0,0,3,7,2420,0,2007,1940,193842
258000,5,2,2260,12500,1,0,0,4,8,1130,1130,1960,1360,18000
511000,3,1,1430,3455,1,0,0,3,7,980,450,1947,1450,4599
532170,3,2,1360,3090,2,0,0,3,8,1360,0,1990,1500,3090
560000,3,1,1110,5000,1.5,0,0,3,7,1110,0,1947,1420,5000
282950,3,1,1250,8200,1,0,0,4,7,1250,0,1954,1680,8633
2.25E+06,4,3.25,5180,19850,2,0,3,3,12,3540,1640,2006,3160,9750
350000,1,1,700,5100,1,0,0,3,7,700,0,1942,1010,5100
215000,3,1,1180,7669,1,0,0,4,7,1180,0,1967,1190,7669
650000,5,3.5,3960,25245,2,0,0,3,9,2500,1460,1996,2640,13675
320000,4,2.75,2640,7500,1,0,0,3,8,1620,1020,1967,1980,7875
247000,3,2,1270,7198,1.5,0,0,3,7,1270,0,1916,1160,7198
320000,4,1.75,1760,11180,1,0,0,4,8,1760,0,1968,1730,11180
255000,5,2.25,2060,8632,1,0,0,3,7,1030,1030,1962,1010,11680
438000,3,1.75,1780,9660,1,0,0,3,7,1780,0,1962,1200,9660
900000,3,2.5,3400,16603,2,0,0,3,10,3400,0,2000,3400,12601
441000,3,2.75,1910,7280,1,0,0,3,7,1160,750,1979,1710,8152
420000,3,2,2020,38332,1,0,0,4,7,1010,1010,1975,2110,36590
370000,3,1.75,1580,7000,1,0,0,3,7,1180,400,1976,1640,7500
269950,2,1.75,1340,7250,1,0,0,5,5,700,640,1949,1830,9750
807100,4,2.5,2680,4499,2,0,0,3,9,2680,0,1999,2920,4500
653000,3,2.5,2680,9750,1,0,0,4,8,1610,1070,1979,2480,8750
371500,3,2,1370,8336,1,0,0,5,7,1370,0,1964,1770,7288
284000,3,1.75,1560,21000,1,0,0,3,7,1560,0,1954,1070,7920
272000,3,1.75,2160,7140,1,0,0,4,7,1670,490,1978,1930,7350
313000,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,1480,7940
917500,4,2.5,3880,35003,2,0,0,3,10,2570,1310,1984,3740,35230
673000,4,2.25,2590,8190,2,0,0,4,8,2590,0,1980,2260,8335
425000,3,2.5,1120,1100,2,0,0,3,8,820,300,2008,1590,1795
399950,5,2.75,1970,5400,1,0,0,3,7,1320,650,1986,1280,2150
385000,3,1,1220,4800,1,0,0,3,6,1220,0,1901,1200,4800
269950,3,1.5,1950,7560,1,0,2,4,7,1320,630,1975,1950,8941
330000,2,1,1350,8220,1,0,0,3,7,1060,290,1949,1540,8280
260000,3,2.5,1670,5797,2,0,0,3,7,1670,0,1988,1670,6183
470000,4,3,2380,5125,1.5,0,0,4,7,1680,700,1925,1410,5375
589000,4,3,2440,9600,2,0,0,5,7,2440,0,1961,2290,9600
163500,2,1.5,1050,3419,2,0,0,3,7,1050,0,1996,1050,3417
835000,4,2.75,3130,13412,2,0,0,3,9,2140,990,1993,2260,9984
1.10E+06,5,3,4090,12850,1,0,2,4,10,2090,2000,1986,2540,10270
269000,4,1.75,1490,10000,1,0,0,4,8,1100,390,1969,2190,8910
560000,3,2.5,1900,8744,2,0,0,3,8,1900,0,1987,2030,8744
615000,4,1,1330,2400,1.5,0,0,4,6,1330,0,1901,1330,4400
585188,3,2.25,2230,10026,1,0,0,3,8,1430,800,1975,2230,9340
305000,3,1.75,1650,9480,1,0,0,3,7,1220,430,1977,1540,8400
166950,3,1,1190,8820,1,0,0,3,6,1190,0,1959,1230,7980
799000,3,2.5,2140,9897,1,0,0,4,8,2140,0,1959,2680,10083
400000,3,2.5,2180,7508,1,0,0,4,7,1420,760,1962,1900,7818
230000,3,1,1060,10228,1,0,0,3,7,1060,0,1948,1570,10228
256883,3,2.5,1690,5025,2,0,0,3,8,1690,0,2003,2550,5001
423000,4,2,1970,6480,1.5,0,0,5,7,1130,840,1920,1500,6480
465000,3,2.5,2150,4084,2,0,0,3,8,2150,0,2007,1750,2385
440000,3,2.5,1910,66211,2,0,0,3,7,1910,0,1997,2330,67268
385000,3,1.75,1350,155073,1,0,0,4,7,1350,0,1969,1560,50965
210000,3,1,860,11725,1,0,0,4,6,860,0,1943,1300,9514
297000,3,2.5,1940,14952,2,0,0,3,8,1940,0,1994,2030,10450
470000,3,1,1010,5000,1,0,0,3,7,1010,0,1952,1680,5000
226500,3,1.5,1300,7370,1,0,0,4,7,900,400,1976,1430,7500
274250,3,1,910,8450,1,0,0,4,6,910,0,1962,1400,8040
840000,4,1.75,2480,11010,1,0,0,4,9,1630,850,1966,2770,10744
677900,3,2.5,2440,4587,2,0,0,3,8,2440,0,2010,2750,4587
425000,3,1,1010,5864,1,0,0,3,7,1010,0,1915,1290,5000
180250,2,0.75,900,9600,1,0,0,3,6,900,0,1941,1250,14280
464000,6,3,2300,3404,2,0,0,3,7,1600,700,1920,1560,1312
320000,4,2.25,1550,7579,2,0,0,3,8,1550,0,1993,1630,6397
625504,3,2.25,1270,1566,2,0,0,3,8,1060,210,2014,1160,1327
592500,4,2.5,2240,12032,1,0,0,3,9,2240,0,1983,2520,12368
465000,3,2.5,2714,17936,2,0,0,3,9,2714,0,2005,2590,18386
477000,4,2.75,1720,6270,2,0,0,3,8,1720,0,1978,2130,8700
280000,2,1,850,16400,1,0,0,3,6,850,0,1923,1100,14459
1.51E+06,5,3,3300,33474,1,0,3,3,9,1870,1430,1957,3836,20953
445838,3,2.5,2250,5692,2,0,0,3,8,2250,0,2000,1320,5390
1.07E+06,2,2.25,3900,14864,1,0,3,3,8,1950,1950,1947,2580,5184
467000,2,1.5,1320,10800,1,0,0,4,8,1320,0,1947,2120,12040
686000,4,2.5,2760,6440,2,0,0,3,10,2760,0,1999,3070,8127
279950,3,2,1750,9750,1,0,0,3,7,1350,400,1961,1900,10125
527000,4,2.25,2330,19436,2,0,0,3,8,2330,0,1987,1910,10055
325000,3,2.25,2220,16020,1,0,0,4,8,1780,440,1966,2080,9583
328000,3,2.25,2020,8379,2,0,0,3,7,2020,0,1994,2020,8031
390000,3,2.25,1250,7500,1,0,0,5,7,1250,0,1942,1280,7392
479950,2,2,1510,6516,1,0,0,3,8,1510,0,2005,1640,6009
264950,4,2.25,1720,9753,1,0,0,4,7,1120,600,1978,1510,9753
235000,3,1,1430,15246,1,0,0,4,7,980,450,1961,1960,13068
516500,3,2.5,1480,4729,2,0,0,3,7,1480,0,2004,2250,4729
655000,2,1.75,1450,15798,2,1,4,3,7,1230,220,1915,2030,13193
500000,4,2.75,2280,15347,1,0,0,5,7,2280,0,1960,2280,15347
315000,6,2.75,2940,7350,1,0,0,3,8,1780,1160,1978,2120,8236
213000,2,1,1000,10200,1,0,0,3,6,1000,0,1961,1150,13702
475000,3,1.5,2480,5280,1.5,0,0,5,7,1620,860,1947,2090,4800
1.03E+06,5,4,3760,28040,2,0,0,3,10,3760,0,1983,3430,35096
416000,3,2,2220,94300,1,0,0,5,7,1640,580,1976,2070,80100
410000,4,1,1970,4740,1.5,0,0,3,7,1670,300,1904,1510,4740
800000,3,3.5,3830,221284,2,0,0,3,10,3530,300,1993,2920,148539
472000,6,2.5,4410,14034,1,0,2,4,9,2350,2060,1965,2600,13988
225000,3,1.75,1430,8505,1,0,0,4,7,1430,0,1968,1190,8640
210000,2,1,830,6000,1,0,0,3,6,830,0,1940,830,4960
455000,2,1,1430,5000,1.5,0,0,2,7,1430,0,1925,1450,3750
225000,3,1,1300,8316,1,0,0,4,6,1300,0,1954,1260,8316
480000,2,1,1030,3060,1,0,2,4,7,790,240,1918,1390,3060
363000,3,2.5,2740,11872,2,0,0,3,9,2740,0,1990,2570,10377
2.40E+06,4,2.5,3650,8354,1,1,4,3,9,1830,1820,2000,3120,18841
181000,2,1.5,720,5120,1,0,0,3,6,720,0,1954,1150,2566
250000,4,2,2010,7312,1,0,0,4,7,2010,0,1976,2010,7650
481000,3,1.75,1560,3000,1,0,0,4,6,770,790,1918,1390,3000
260000,3,2,1810,7209,1,0,0,4,7,1240,570,1978,1750,7209
455000,4,2.5,3360,7685,2,0,0,3,9,3360,0,2001,3060,6567
415000,3,2.25,1510,36224,2,0,0,3,8,1510,0,1991,1730,36224
349500,3,1,1400,3538,1,0,0,3,7,800,600,1953,1620,6331
245000,3,2.5,1730,7442,2,0,0,3,7,1730,0,1987,1630,6458
592500,2,2,1420,9191,1.5,0,2,5,7,1420,0,1928,1420,6816
385000,4,1.75,2360,7620,1,0,0,4,7,1180,1180,1955,1910,7620
315000,3,1.75,1580,11455,1,0,0,4,7,1200,380,1974,1550,10650
255000,3,1,1230,10170,1,0,0,3,7,1230,0,1979,1380,10098
693000,4,2.5,2460,4425,2,0,0,3,8,2460,0,2006,2990,5659
780000,3,1,1660,4400,1.5,0,0,3,8,1460,200,1911,1660,4400
237000,3,1.75,1270,8470,1,0,0,4,7,1270,0,1960,1600,8470
525000,3,2.25,2100,40510,2,0,0,3,10,1320,780,1979,2380,33450
425000,2,1,770,5040,1,0,0,3,5,770,0,1930,1330,2580
369900,1,0.75,760,10079,1,1,4,5,5,760,0,1936,1230,14267
290000,4,2.5,1700,7280,2,0,0,4,7,1700,0,1988,1950,7475
285000,3,1,1120,10701,1,0,0,3,7,1120,0,1954,1130,6350
415000,2,1,1070,4500,1,0,0,3,7,1070,0,1937,1320,4465
272500,3,2.5,2070,9900,1,0,0,3,8,1420,650,1979,2070,8250
2.90E+06,4,3.25,5050,20100,1.5,0,2,3,11,4750,300,1982,3890,20060
1.37E+06,4,4.75,5310,57346,2,0,0,4,11,5310,0,1989,4180,47443
436000,2,1,1040,7538,1,0,0,4,7,1040,0,1939,1440,7530
210000,3,1,1700,11390,1,0,0,4,7,1700,0,1967,1350,8164
236000,3,1,1300,5898,1,0,0,3,7,1300,0,1961,1320,7619
331000,3,1.75,1080,1306,1,0,0,3,7,580,500,1954,1440,2225
365000,3,2.5,2653,4510,2,0,0,3,8,2653,0,2006,2653,4927
450000,3,2,2290,16258,1,0,0,5,8,2290,0,1960,1660,10530
770000,4,2.75,3820,26300,2,0,0,3,9,2850,970,2014,1860,12136
455000,4,2.5,2210,49375,1,0,0,3,8,2210,0,1997,2670,49385
405000,3,1.75,2390,6000,1,0,0,3,6,1240,1150,1908,2020,6000
304900,4,1.75,2600,11325,1,0,0,4,7,1610,990,1969,1720,11088
170000,2,1,860,5265,1,0,0,3,6,860,0,1931,1650,8775
2.05E+06,5,3,3830,8480,2,0,1,5,9,2630,1200,1905,3050,7556
780000,4,2.5,3500,7048,2,0,0,3,9,3500,0,2005,3920,7864
330000,3,3,2420,13959,1,0,0,4,8,1740,680,1988,2570,13300
370000,4,2.5,2720,8666,2,0,0,3,9,2720,0,1992,2410,8100
467000,5,2.25,2500,13500,1,0,0,3,7,1850,650,1979,2300,9750
405000,3,1.75,1670,6720,1,0,0,3,7,1140,530,1980,1670,7320
675000,5,2.25,2900,10300,1,0,0,3,8,1450,1450,1985,2310,10300
500000,2,1,1640,14100,1,0,0,4,7,1140,500,1954,1520,13527
389999,4,2.5,1890,15770,2,0,0,4,7,1890,0,1968,2410,15256
630000,4,1.75,2950,9025,1,0,2,4,8,1780,1170,1975,2120,9600
360000,4,2.5,2160,9528,2,0,0,3,9,2160,0,1992,2280,9937
580000,4,3,3280,11060,2,0,0,3,8,2270,1010,1986,2320,11004
550000,3,2,1970,4166,2,0,3,5,8,1270,700,1929,2390,4166
879000,4,2.5,3360,22111,2,0,0,3,10,3360,0,1994,3150,11374
265000,3,2,1320,8959,1,0,0,3,7,1320,0,1993,1740,7316
446500,3,2.5,2650,7286,2,0,0,3,8,2650,0,1990,2400,7220
404000,3,1.5,2030,8880,1,0,0,3,7,1330,700,1963,2140,5592
267500,3,1.75,1590,11914,1,0,2,3,7,1090,500,1957,1630,9052
3.08E+06,4,5,4550,18641,1,1,4,3,10,2600,1950,2002,4550,19508
335000,3,2.5,2440,7632,2,0,0,3,8,2440,0,1998,2510,7903
576000,3,2.5,1940,9000,1,0,0,4,7,970,970,1948,2190,7310
208633,3,2.5,2040,3810,2,0,0,3,8,2040,0,2006,2370,4590
315000,3,2.25,2200,8750,1,0,0,4,7,1120,1080,1964,1460,10139
725000,3,1.75,1920,3300,1,0,0,4,8,960,960,1913,1740,4000
550000,4,2.75,1800,7750,1,0,0,4,8,1400,400,1965,1800,8275
610750,4,2.25,2180,7297,2,0,0,3,8,2180,0,1984,2250,9781
550700,2,1,1010,5000,1.5,0,0,4,6,1010,0,1908,1460,5000
665000,4,2.75,3320,10574,2,0,0,5,8,2220,1100,1960,2720,8330
834000,4,2.5,2370,4000,1.5,0,2,5,8,1980,390,1928,2440,5750
201000,5,1.75,1660,78408,1.5,0,0,3,6,1660,0,1915,1660,78408
2.38E+06,5,2.5,3650,9050,2,0,4,5,10,3370,280,1921,2880,5400
1.38E+06,4,3.25,4290,12103,1,0,3,3,11,2690,1600,1997,3860,11244
1.40E+06,4,3.25,4290,12103,1,0,3,3,11,2690,1600,1997,3860,11244
305000,4,2.25,1950,7700,1,0,0,3,8,1350,600,1979,2150,7350
487000,3,2,2590,14052,1,0,0,5,8,1720,870,1948,1570,8162
390000,3,2.5,1930,64904,1,0,0,4,8,1930,0,1988,2350,57500
548000,2,1,1470,3864,1,0,0,4,7,1170,300,1916,1570,3864
268750,4,1,800,8775,1,0,0,3,6,800,0,1943,1310,8775
819900,5,2.75,3150,7119,2,0,0,3,9,3150,0,2013,1560,8384
520000,3,2.25,2030,16200,2,0,0,3,8,2030,0,1984,2660,17958
230000,3,2,1450,11204,1,0,0,3,7,1450,0,2003,1520,9518
240000,3,1.75,1510,10248,1,0,0,3,7,1510,0,1969,1510,9753
232000,2,1,1240,12092,1,0,0,3,6,960,280,1922,1820,7460
240500,2,1,1240,12092,1,0,0,3,6,960,280,1922,1820,7460
274975,3,2.5,3030,45004,2,0,0,3,9,3030,0,1987,3080,35781
740000,4,2,2050,4400,1.5,0,0,4,9,2050,0,1922,2320,5500
186375,3,1,1000,7636,1,0,0,2,7,1000,0,1952,1150,7600
790000,3,2.25,2370,10289,1,0,0,4,9,1590,780,1977,2500,10004
880000,4,3.5,2800,6750,2,0,0,3,9,1890,910,1951,2370,6120
279000,6,1.75,2240,11180,2,0,0,4,7,2240,0,1955,1590,7955
295000,3,2,1810,10530,1,0,2,3,8,1810,0,1991,1910,10450
640000,2,1,1070,5000,1,0,0,3,7,1070,0,1924,1710,5000
940000,4,2,2490,9525,2,0,0,5,9,2490,0,1968,2770,9525
260000,4,2.5,1960,5238,2,0,0,3,7,1960,0,2003,1800,5894
559900,3,2.75,2930,5569,1,0,0,3,9,1860,1070,2004,2580,11045
791500,4,2,1510,3500,1.5,0,0,5,7,1510,0,1911,1820,3750
265000,3,1.75,1420,8250,1,0,0,3,7,1420,0,1954,1740,8000
245000,3,1.75,1740,11547,1,0,0,3,7,1740,0,1954,880,78408
485000,4,1.75,2560,43995,2,0,0,4,7,2560,0,1962,2560,14764
684000,4,3.5,3040,8414,2,0,0,3,9,2420,620,2010,3470,8066
425000,3,1.75,2500,6840,1,0,0,3,8,1300,1200,1957,1580,8691
309600,4,1.75,1275,20000,1,0,0,4,6,1275,0,1991,1660,20000
552250,4,2.5,2580,5823,2,0,0,3,8,2580,0,2002,2380,5823
165000,4,1,1000,7134,1,0,0,3,6,1000,0,1943,1020,7138
239900,4,1,1000,7134,1,0,0,3,6,1000,0,1943,1020,7138
320000,2,1,1070,32633,1,0,0,4,6,1070,0,1930,1360,32156
206600,3,2,1390,13464,1,0,0,4,7,1390,0,1987,1720,12080
387000,4,1.75,2500,7690,1,0,0,3,7,1250,1250,1973,2040,8646
299000,1,0.75,560,12120,1,0,0,3,4,560,0,1967,1300,19207
855000,4,2.75,2270,10460,2,0,0,3,9,2270,0,1965,2610,10180
315000,3,1,1900,14400,1,0,0,4,7,1300,600,1954,1940,14400
437500,2,1,990,3120,1,0,2,5,7,790,200,1907,1930,3120
252000,4,1.5,1550,19800,1,0,0,4,7,1050,500,1969,1640,22654
375000,4,1.75,2200,7475,1,0,0,5,7,1100,1100,1955,1600,5766
300000,4,2.5,1910,4862,2,0,0,3,7,1910,0,2005,2010,5091
