WERKS,SCENARIO,KTOKK,VSTATU,VPATD,EKORG,EKGRP,TOTGRQTY,TOTIRQTY,NODLGR,NODLIR,DIFGRIRD,DIFGRIRV,STATUS
ML01,3,1,1,30,1,B,0,51,0,23,-51,-41000,0
ML01,3,1,1,30,1,B,0,87,0,137,-87,-65600,0
ML01,3,1,1,30,1,B,0,73,0,178,-73,-55700,0
ML01,3,1,1,30,1,B,0,183,0,50,-183,-12100,1
ML01,3,1,1,30,1,B,0,78,0,42,-78,-75000,0
ML01,3,1,1,60,1,B,0,156,0,145,-156,-22500,1
ML01,3,1,1,60,1,B,0,184,0,32,-184,-17000,0
ML01,3,1,1,60,1,B,0,133,0,207,-133,-40300,0
ML01,3,1,1,60,1,B,0,63,0,195,-63,-12400,1
ML01,3,1,1,90,1,B,0,145,0,138,-145,-38000,0
ML01,3,1,1,90,1,B,0,163,0,152,-163,-51700,0
ML01,3,1,1,90,1,B,0,114,0,82,-114,-25600,0
ML01,3,1,1,90,1,B,0,122,0,41,-122,-57200,0
ML01,3,1,1,30,1,B,0,155,0,72,-155,-37900,0
ML01,3,1,1,30,1,B,0,50,0,40,-50,-43400,0
ML01,3,1,1,30,1,B,0,169,0,12,-169,-27000,0
ML01,3,1,1,30,1,B,0,175,0,56,-175,-56800,0
ML01,3,1,1,60,1,B,0,101,0,117,-101,-14300,1
ML01,3,1,1,60,1,B,0,78,0,53,-78,-47600,0
ML01,3,1,1,60,1,B,0,170,0,187,-170,-12900,1
ML01,3,1,1,90,1,B,0,71,0,12,-71,-70800,0
ML01,3,1,1,90,1,B,0,183,0,164,-183,-50300,0
ML01,3,1,1,90,1,B,0,164,0,128,-164,-60000,0
ML01,3,1,1,90,1,B,0,191,0,83,-191,-17300,0
ML01,3,1,1,90,1,B,0,72,0,169,-72,-55600,0
ML01,3,2,1,30,1,B,0,118,0,120,-118,-8600,1
ML01,3,2,1,30,1,B,0,185,0,88,-185,-34600,0
ML01,3,2,1,30,1,B,0,187,0,104,-187,-5000,1
ML01,3,2,1,30,1,B,0,179,0,193,-179,-71400,0
ML01,3,2,1,30,1,B,0,55,0,192,-55,-13400,1
ML01,3,2,1,60,1,B,0,159,0,67,-159,-23200,1
ML01,3,2,1,60,1,B,0,111,0,67,-111,-20300,1
ML01,3,2,1,60,1,B,0,131,0,145,-131,-59000,0
ML01,3,2,1,60,1,B,0,100,0,192,-100,-67100,0
ML01,3,2,1,90,1,B,0,106,0,103,-106,-34200,0
ML01,3,2,1,90,1,B,0,75,0,160,-75,-27000,0
ML01,3,2,1,30,1,B,0,103,0,176,-103,-12600,1
ML01,3,2,1,30,1,B,0,59,0,67,-59,-53100,0
ML01,3,2,1,30,1,B,0,74,0,141,-74,-1200,1
ML01,3,2,1,30,1,B,0,144,0,9,-144,-16300,0
ML01,3,2,1,60,1,B,0,147,0,14,-147,-18100,0
ML01,3,2,1,60,1,B,0,178,0,198,-178,-8800,1
ML01,3,2,1,60,1,B,0,115,0,157,-115,-22200,0
ML01,3,2,1,60,1,B,0,197,0,3,-197,-14000,0
ML01,3,2,1,90,1,B,0,73,0,133,-73,-54400,0
ML01,3,2,1,90,1,B,0,132,0,165,-132,-42400,0
ML01,3,2,1,90,1,B,0,134,0,17,-134,-31100,0
ML01,3,2,1,90,1,B,0,161,0,203,-161,-14400,1
ML01,3,1,1,30,1,C,0,61,0,163,-61,-11100,1
ML01,3,1,1,30,1,C,0,64,0,7,-64,-18900,0
ML01,3,1,1,30,1,C,0,175,0,133,-175,-11800,1
ML01,3,1,1,30,1,C,0,167,0,173,-167,-43400,0
ML01,3,1,1,30,1,C,0,88,0,181,-88,-45300,0
ML01,3,1,1,60,1,C,0,106,0,156,-106,-35300,0
ML01,3,1,1,60,1,C,0,145,0,66,-145,-71700,0
ML01,3,1,1,60,1,C,0,182,0,113,-182,-45300,0
ML01,3,1,1,60,1,C,0,101,0,54,-101,-63400,0
ML01,3,1,1,90,1,C,0,178,0,35,-178,-53600,0
ML01,3,1,1,90,1,C,0,141,0,86,-141,-11600,0
ML01,3,1,1,90,1,C,0,169,0,140,-169,-40700,0
ML01,3,1,1,90,1,C,0,53,0,181,-53,-11600,1
ML01,3,1,1,30,1,C,0,194,0,122,-194,-72100,0
ML01,3,1,1,30,1,C,0,81,0,97,-81,-17300,1
ML01,3,1,1,30,1,C,0,151,0,32,-151,-35000,0
ML01,3,1,1,30,1,C,0,119,0,174,-119,-31100,0
ML01,3,1,1,30,1,C,0,167,0,103,-167,-45200,0
ML01,3,1,1,60,1,C,0,159,0,76,-159,-67700,0
ML01,3,1,1,60,1,C,0,65,0,157,-65,-54400,0
ML01,3,1,1,60,1,C,0,86,0,40,-86,-30500,0
ML01,3,1,1,60,1,C,0,190,0,5,-190,-54000,0
ML01,3,1,1,90,1,C,0,81,0,18,-81,-30300,0
ML01,3,1,1,90,1,C,0,152,0,202,-152,-63300,0
ML01,3,1,1,90,1,C,0,167,0,191,-167,-25200,1
ML01,3,1,1,90,1,C,0,198,0,167,-198,-24900,1
ML01,3,1,1,90,1,C,0,72,0,12,-72,-62600,0
ML01,3,2,1,30,1,C,0,81,0,71,-81,-22300,1
ML01,3,2,1,30,1,C,0,157,0,180,-157,-42000,0
ML01,3,2,1,30,1,C,0,102,0,17,-102,-3700,0
ML01,3,2,1,30,1,C,0,65,0,57,-65,-50600,0
ML01,3,2,1,30,1,C,0,130,0,113,-130,-51500,0
ML01,3,2,1,60,1,C,0,63,0,210,-63,-2800,1
ML01,3,2,1,60,1,C,0,52,0,67,-52,-33100,0
ML01,3,2,1,60,1,C,0,143,0,192,-143,-7200,1
ML01,3,2,1,90,1,C,0,51,0,173,-51,-43900,0
ML01,3,2,1,90,1,C,0,122,0,54,-122,-53200,0
ML01,3,2,1,90,1,C,0,57,0,183,-57,-62700,0
ML01,3,2,1,90,1,C,0,147,0,46,-147,-73700,0
ML01,3,2,1,90,1,C,0,65,0,176,-65,-5000,1
ML01,3,2,1,30,1,C,0,189,0,120,-189,-31000,0
ML01,3,2,1,30,1,C,0,150,0,55,-150,-4900,1
ML01,3,2,1,30,1,C,0,124,0,158,-124,-61000,0
ML01,3,2,1,30,1,C,0,56,0,36,-56,-70800,0
ML01,3,2,1,60,1,C,0,194,0,48,-194,-12800,0
ML01,3,2,1,60,1,C,0,73,0,183,-73,-17500,1
ML01,3,2,1,90,1,C,0,84,0,20,-84,-61700,0
ML01,3,2,1,90,1,C,0,139,0,91,-139,-69800,0
ML01,3,2,1,90,1,C,0,81,0,97,-81,-40000,0
ML01,3,2,1,90,1,C,0,180,0,9,-180,-50900,0
ML01,3,1,1,30,1,A,0,52,0,78,-52,-52800,0
ML01,3,1,1,30,1,A,0,125,0,208,-125,-37000,0
ML01,3,1,1,30,1,A,0,80,0,189,-80,-38000,0
ML01,3,1,1,60,1,A,0,96,0,159,-96,-54600,0
ML01,3,1,1,60,1,A,0,188,0,46,-188,-57800,0
ML01,3,1,1,60,1,A,0,102,0,83,-102,-72300,0
ML01,3,1,1,60,1,A,0,198,0,103,-198,-8100,1
ML01,3,1,1,60,1,A,0,110,0,72,-110,-60500,0
ML01,3,1,1,90,1,A,0,122,0,112,-122,-20700,1
ML01,3,1,1,90,1,A,0,148,0,40,-148,-29800,0
ML01,3,1,1,90,1,A,0,68,0,167,-68,-14800,1
ML01,3,1,1,30,1,A,0,89,0,147,-89,-56700,0
ML01,3,1,1,30,1,A,0,94,0,120,-94,-8800,1
ML01,3,1,1,30,1,A,0,200,0,160,-200,-42500,0
ML01,3,1,1,30,1,A,0,57,0,52,-57,-43300,0
ML01,3,1,1,60,1,A,0,50,0,64,-50,-5900,1
ML01,3,1,1,60,1,A,0,81,0,66,-81,-39000,1
ML01,3,1,1,60,1,A,0,157,0,172,-157,-68300,0
ML01,3,1,1,60,1,A,0,185,0,2,-185,-53400,0
ML01,3,1,1,90,1,A,0,95,0,38,-95,-16200,0
ML01,3,1,1,90,1,A,0,106,0,113,-106,-19900,1
ML01,3,1,1,90,1,A,0,51,0,196,-51,-38500,0
ML01,3,2,1,30,1,A,0,103,0,129,-103,-59600,0
ML01,3,2,1,30,1,A,0,116,0,104,-116,-11900,1
ML01,3,2,1,30,1,A,0,158,0,96,-158,-4600,1
ML01,3,2,1,30,1,A,0,137,0,200,-137,-21600,0
ML01,3,2,1,30,1,A,0,168,0,2,-168,-63800,0
ML01,3,2,1,60,1,A,0,105,0,208,-105,-45300,0
ML01,3,2,1,60,1,A,0,198,0,23,-198,-48600,0
ML01,3,2,1,60,1,A,0,187,0,56,-187,-46900,0
ML01,3,2,1,60,1,A,0,157,0,165,-157,-58800,0
ML01,3,2,1,90,1,A,0,137,0,16,-137,-72500,0
ML01,3,2,1,90,1,A,0,108,0,42,-108,-61500,0
ML01,3,2,1,90,1,A,0,89,0,96,-89,-11900,1
ML01,3,2,1,30,1,A,0,133,0,93,-133,-6200,1
ML01,3,2,1,30,1,A,0,66,0,127,-66,-69200,0
ML01,3,2,1,30,1,A,0,147,0,36,-147,-60200,0
ML01,3,2,1,30,1,A,0,148,0,137,-148,-34500,0
ML01,3,2,1,60,1,A,0,64,0,2,-64,-6800,0
ML01,3,2,1,60,1,A,0,77,0,188,-77,-19500,1
ML01,3,2,1,60,1,A,0,162,0,63,-162,-20200,0
ML01,3,2,1,60,1,A,0,163,0,50,-163,-1800,0
ML01,3,2,1,60,1,A,0,82,0,163,-82,-25600,0
ML01,3,2,1,90,1,A,0,93,0,62,-93,-42400,0
ML01,3,2,1,90,1,A,0,162,0,113,-162,-50200,0
ML01,3,2,1,90,1,A,0,143,0,147,-143,-43000,0
ML01,3,2,1,90,1,A,0,198,0,188,-198,-13800,1
ML01,3,2,1,90,1,A,0,132,0,64,-132,-49000,0
ML01,3,1,1,30,1,B,0,167,0,92,-167,-58500,0
ML01,3,1,1,30,1,B,0,60,0,18,-60,-32000,0
ML01,3,1,1,30,1,B,0,135,0,186,-135,-26800,1
ML01,3,1,1,60,1,B,0,67,0,50,-67,-22400,0
ML01,3,1,1,60,1,B,0,181,0,113,-181,-64500,0
ML01,3,1,1,60,1,B,0,178,0,112,-178,-53600,0
ML01,3,1,1,60,1,B,0,156,0,117,-156,-29700,1
ML01,3,1,1,90,1,B,0,152,0,20,-152,-54700,0
ML01,3,1,1,90,1,B,0,102,0,37,-102,-3300,0
ML01,3,1,1,90,1,B,0,185,0,47,-185,-29600,0
ML01,3,1,1,30,1,B,0,83,0,39,-83,-11700,1
ML01,3,1,1,30,1,B,0,101,0,48,-101,-48400,0
ML01,3,1,1,30,1,B,0,82,0,153,-82,-70400,0
ML01,3,1,1,30,1,B,0,199,0,203,-199,-36500,0
ML01,3,1,1,30,1,B,0,124,0,168,-124,-41200,0
ML01,3,1,1,60,1,B,0,141,0,89,-141,-72000,0
ML01,3,1,1,60,1,B,0,124,0,10,-124,-46100,0
ML01,3,1,1,60,1,B,0,143,0,166,-143,-57800,0
ML01,3,1,1,60,1,B,0,172,0,155,-172,-21800,1
ML01,3,1,1,90,1,B,0,84,0,142,-84,-9900,1
ML01,3,1,1,90,1,B,0,74,0,137,-74,-30800,0
ML01,3,1,1,90,1,B,0,89,0,55,-89,-47800,0
ML01,3,1,1,90,1,B,0,160,0,82,-160,-1800,0
ML01,3,1,1,90,1,B,0,147,0,26,-147,-55900,0
ML01,3,2,1,30,1,B,0,149,0,54,-149,-32000,0
ML01,3,2,1,30,1,B,0,63,0,17,-63,-8700,0
ML01,3,2,1,30,1,B,0,174,0,46,-174,-64700,0
ML01,3,2,1,30,1,B,0,195,0,5,-195,-24700,0
ML01,3,2,1,30,1,B,0,151,0,42,-151,-17200,1
ML01,3,2,1,60,1,B,0,79,0,69,-79,-27900,0
ML01,3,2,1,60,1,B,0,88,0,61,-88,-12900,0
ML01,3,2,1,60,1,B,0,88,0,119,-88,-47900,0
ML01,3,2,1,90,1,B,0,144,0,98,-144,-17900,1
ML01,3,2,1,90,1,B,0,57,0,3,-57,-13100,0
ML01,3,2,1,90,1,B,0,72,0,181,-72,-70600,0
ML01,3,2,1,90,1,B,0,145,0,206,-145,-62600,0
ML01,3,2,1,90,1,B,0,74,0,93,-74,-52300,0
ML01,3,2,1,30,1,B,0,165,0,150,-165,-19300,1
ML01,3,2,1,30,1,B,0,115,0,81,-115,-66600,0
ML01,3,2,1,30,1,B,0,80,0,179,-80,-73700,0
ML01,3,2,1,30,1,B,0,139,0,19,-139,-68400,0
ML01,3,2,1,30,1,B,0,150,0,27,-150,-49200,0
ML01,3,2,1,60,1,B,0,145,0,44,-145,-53100,0
ML01,3,2,1,60,1,B,0,168,0,117,-168,-62800,0
ML01,3,2,1,60,1,B,0,128,0,117,-128,-23200,0
ML01,3,2,1,60,1,B,0,190,0,179,-190,-17900,1
ML01,3,2,1,60,1,B,0,80,0,121,-80,-69400,0
ML01,3,2,1,90,1,B,0,170,0,112,-170,-64600,0
ML01,3,2,1,90,1,B,0,189,0,165,-189,-3900,1
ML01,3,2,1,90,1,B,0,63,0,144,-63,-3000,1
ML01,3,2,1,90,1,B,0,51,0,148,-51,-43100,0
ML01,3,1,1,30,1,C,0,112,0,58,-112,-18100,1
ML01,3,1,1,30,1,C,0,112,0,196,-112,-34500,0
ML01,3,1,1,30,1,C,0,186,0,167,-186,-63100,0
ML01,3,1,1,60,1,C,0,162,0,171,-162,-20600,1
ML01,3,1,1,60,1,C,0,154,0,118,-154,-47000,0
ML01,3,1,1,60,1,C,0,114,0,119,-114,-14300,1
ML01,3,1,1,60,1,C,0,167,0,186,-167,-23300,1
ML01,3,1,1,90,1,C,0,178,0,151,-178,-18100,1
ML01,3,1,1,90,1,C,0,148,0,15,-148,-9400,0
ML01,3,1,1,90,1,C,0,192,0,6,-192,-38800,0
ML01,3,1,1,90,1,C,0,63,0,104,-63,-54800,0
ML01,3,1,1,90,1,C,0,189,0,6,-189,-32300,0
ML01,3,1,1,30,1,C,0,83,0,142,-83,-32200,0
ML01,3,1,1,30,1,C,0,110,0,96,-110,-64400,0
ML01,3,1,1,30,1,C,0,98,0,1,-98,-34400,0
ML01,3,1,1,30,1,C,0,78,0,109,-78,-5500,1
ML01,3,1,1,60,1,C,0,146,0,206,-146,-44700,0
ML01,3,1,1,60,1,C,0,143,0,89,-143,-37500,0
ML01,3,1,1,60,1,C,0,142,0,47,-142,-65500,0
ML01,3,1,1,60,1,C,0,174,0,194,-174,-24100,1
ML01,3,1,1,90,1,C,0,86,0,101,-86,-6600,1
ML01,3,1,1,90,1,C,0,144,0,69,-144,-16400,0
ML01,3,1,1,90,1,C,0,87,0,144,-87,-30200,0
ML01,3,1,1,90,1,C,0,167,0,71,-167,-65400,0
ML01,3,2,1,30,1,C,0,188,0,103,-188,-66800,0
ML01,3,2,1,30,1,C,0,122,0,210,-122,-14700,1
ML01,3,2,1,30,1,C,0,167,0,201,-167,-33500,0
ML01,3,2,1,30,1,C,0,193,0,68,-193,-24800,0
ML01,3,2,1,30,1,C,0,153,0,117,-153,-35800,0
ML01,3,2,1,60,1,C,0,115,0,18,-115,-62600,0
ML01,3,2,1,60,1,C,0,188,0,24,-188,-67700,0
ML01,3,2,1,60,1,C,0,60,0,43,-60,-48200,0
ML01,3,2,1,90,1,C,0,170,0,146,-170,-27200,0
ML01,3,2,1,90,1,C,0,151,0,100,-151,-44400,0
ML01,3,2,1,90,1,C,0,155,0,5,-155,-50200,0
ML01,3,2,1,90,1,C,0,116,0,130,-116,-46700,0
ML01,3,2,1,30,1,C,0,137,0,126,-137,-21500,1
ML01,3,2,1,30,1,C,0,119,0,205,-119,-47200,0
ML01,3,2,1,30,1,C,0,165,0,136,-165,-9500,1
ML01,3,2,1,30,1,C,0,62,0,89,-62,-19000,1
ML01,3,2,1,60,1,C,0,68,0,75,-68,-44100,0
ML01,3,2,1,60,1,C,0,79,0,149,-79,-54200,0
ML01,3,2,1,60,1,C,0,141,0,135,-141,-66300,0
ML01,3,2,1,60,1,C,0,105,0,124,-105,-49000,0
ML01,3,2,1,60,1,C,0,183,0,132,-183,-31500,0
ML01,3,2,1,90,1,C,0,183,0,81,-183,-27500,0
ML01,3,2,1,90,1,C,0,110,0,101,-110,-45600,0
ML01,3,2,1,90,1,C,0,123,0,183,-123,-42600,0
ML01,3,2,1,90,1,C,0,190,0,175,-190,-5400,1
ML01,3,1,1,30,1,A,0,99,0,93,-99,-38300,0
ML01,3,1,1,30,1,A,0,54,0,59,-54,-25700,1
ML01,3,1,1,30,1,A,0,109,0,17,-109,-40300,0
ML01,3,1,1,60,1,A,0,118,0,92,-118,-29000,1
ML01,3,1,1,60,1,A,0,193,0,42,-193,-68100,0
ML01,3,1,1,60,1,A,0,177,0,75,-177,-7500,1
ML01,3,1,1,60,1,A,0,147,0,66,-147,-10700,1
ML01,3,1,1,60,1,A,0,188,0,62,-188,-43500,0
ML01,3,1,1,90,1,A,0,137,0,43,-137,-16700,0
ML01,3,1,1,90,1,A,0,76,0,177,-76,-72300,0
ML01,3,1,1,90,1,A,0,160,0,31,-160,-19600,0
ML01,3,1,1,90,1,A,0,152,0,46,-152,-65900,0
ML01,3,1,1,90,1,A,0,160,0,202,-160,-63100,0
ML01,3,1,1,30,1,A,0,159,0,98,-159,-72300,0
ML01,3,1,1,30,1,A,0,123,0,10,-123,-74600,0
ML01,3,1,1,60,1,A,0,89,0,72,-89,-48800,0
ML01,3,1,1,60,1,A,0,140,0,149,-140,-42700,0
ML01,3,1,1,60,1,A,0,82,0,70,-82,-7500,1
ML01,3,1,1,60,1,A,0,171,0,13,-171,-32000,0
ML01,3,1,1,90,1,A,0,177,0,185,-177,-17600,1
ML01,3,1,1,90,1,A,0,109,0,11,-109,-26100,0
ML01,3,1,1,90,1,A,0,98,0,122,-98,-1200,1
ML01,3,2,1,30,1,A,0,118,0,200,-118,-51800,0
ML01,3,2,1,30,1,A,0,50,0,202,-50,-15200,1
ML01,3,2,1,30,1,A,0,171,0,195,-171,-21000,0
ML01,3,2,1,30,1,A,0,71,0,211,-71,-39000,0
ML01,3,2,1,30,1,A,0,102,0,23,-102,-9100,0
ML01,3,2,1,60,1,A,0,151,0,14,-151,-18000,0
ML01,3,2,1,60,1,A,0,198,0,166,-198,-16800,1
ML01,3,2,1,60,1,A,0,82,0,194,-82,-13500,1
ML01,3,2,1,90,1,A,0,184,0,207,-184,-58800,0
ML01,3,2,1,90,1,A,0,95,0,49,-95,-58200,0
ML01,3,2,1,90,1,A,0,124,0,30,-124,-65500,0
ML01,3,2,1,90,1,A,0,185,0,153,-185,-69200,0
ML01,3,2,1,30,1,A,0,182,0,6,-182,-35100,0
ML01,3,2,1,30,1,A,0,124,0,94,-124,-64700,0
ML01,3,2,1,30,1,A,0,196,0,43,-196,-55200,0
ML01,3,2,1,30,1,A,0,94,0,123,-94,-27200,0
ML01,3,2,1,60,1,A,0,64,0,187,-64,-30900,0
ML01,3,2,1,60,1,A,0,169,0,182,-169,-59000,0
ML01,3,2,1,60,1,A,0,93,0,188,-93,-7700,1
ML01,3,2,1,90,1,A,0,116,0,173,-116,-32100,0
ML01,3,2,1,90,1,A,0,68,0,59,-68,-50300,0
ML01,3,2,1,90,1,A,0,154,0,30,-154,-44700,0
ML01,3,1,1,30,1,B,0,94,0,53,-94,-73200,0
ML01,3,1,1,30,1,B,0,182,0,68,-182,-74500,0
ML01,3,1,1,30,1,B,0,59,0,48,-59,-27600,1
ML01,3,1,1,60,1,B,0,161,0,23,-161,-44900,0
ML01,3,1,1,60,1,B,0,184,0,39,-184,-16700,0
ML01,3,1,1,60,1,B,0,155,0,42,-155,-17000,0
ML01,3,1,1,90,1,B,0,158,0,24,-158,-36300,0
ML01,3,1,1,90,1,B,0,128,0,87,-128,-73600,0
ML01,3,1,1,90,1,B,0,107,0,192,-107,-68700,0
ML01,3,1,1,90,1,B,0,140,0,20,-140,-31900,0
ML01,3,1,1,30,1,B,0,74,0,95,-74,-20800,1
ML01,3,1,1,30,1,B,0,75,0,194,-75,-22000,1
ML01,3,1,1,30,1,B,0,61,0,68,-61,-46700,0
ML01,3,1,1,30,1,B,0,115,0,199,-115,-64600,0
ML01,3,1,1,60,1,B,0,51,0,75,-51,-13800,1
ML01,3,1,1,60,1,B,0,156,0,10,-156,-61800,0
ML01,3,1,1,60,1,B,0,146,0,61,-146,-55400,0
ML01,3,1,1,90,1,B,0,57,0,76,-57,-25500,0
ML01,3,1,1,90,1,B,0,183,0,114,-183,-43800,0
ML01,3,1,1,90,1,B,0,163,0,142,-163,-5300,1
ML01,3,1,1,90,1,B,0,131,0,180,-131,-40300,0
ML01,3,2,1,30,1,B,0,189,0,134,-189,-72900,0
ML01,3,2,1,30,1,B,0,175,0,7,-175,-20900,0
ML01,3,2,1,30,1,B,0,142,0,82,-142,-36500,0
ML01,3,2,1,30,1,B,0,70,0,53,-70,-22100,0
ML01,3,2,1,30,1,B,0,160,0,186,-160,-13400,1
ML01,3,2,1,60,1,B,0,190,0,9,-190,-15600,0
ML01,3,2,1,60,1,B,0,149,0,30,-149,-18100,0
ML01,3,2,1,60,1,B,0,137,0,178,-137,-19400,1
ML01,3,2,1,90,1,B,0,179,0,63,-179,-55900,0
ML01,3,2,1,90,1,B,0,108,0,29,-108,-48200,0
ML01,3,2,1,90,1,B,0,147,0,36,-147,-19500,0
ML01,3,2,1,90,1,B,0,97,0,34,-97,-9600,0
ML01,3,2,1,90,1,B,0,194,0,111,-194,-33300,0
ML01,3,2,1,30,1,B,0,112,0,87,-112,-21800,1
ML01,3,2,1,30,1,B,0,111,0,192,-111,-46500,0
ML01,3,2,1,30,1,B,0,86,0,154,-86,-23000,0
ML01,3,2,1,60,1,B,0,194,0,197,-194,-35500,0
ML01,3,2,1,60,1,B,0,158,0,12,-158,-15400,0
ML01,3,2,1,60,1,B,0,166,0,99,-166,-15900,1
ML01,3,2,1,90,1,B,0,141,0,40,-141,-56200,0
ML01,3,2,1,90,1,B,0,66,0,102,-66,-42300,0
ML01,3,2,1,90,1,B,0,56,0,16,-56,-16600,0
ML01,3,2,1,90,1,B,0,90,0,91,-90,-31900,0
ML01,3,1,1,30,1,C,0,148,0,53,-148,-15300,1
ML01,3,1,1,30,1,C,0,186,0,56,-186,-15300,1
ML01,3,1,1,30,1,C,0,183,0,100,-183,-61200,0
ML01,3,1,1,30,1,C,0,66,0,66,-66,-25400,1
ML01,3,1,1,30,1,C,0,105,0,203,-105,-63200,0
ML01,3,1,1,60,1,C,0,91,0,133,-91,-16600,1
ML01,3,1,1,60,1,C,0,185,0,209,-185,-4900,1
ML01,3,1,1,60,1,C,0,107,0,173,-107,-49300,0
ML01,3,1,1,60,1,C,0,117,0,67,-117,-54600,0
ML01,3,1,1,60,1,C,0,197,0,77,-197,-57400,0
ML01,3,1,1,90,1,C,0,53,0,70,-53,-60700,0
ML01,3,1,1,90,1,C,0,65,0,107,-65,-34900,0
ML01,3,1,1,90,1,C,0,84,0,69,-84,-20100,0
ML01,3,1,1,90,1,C,0,198,0,38,-198,-19700,0
ML01,3,1,1,30,1,C,0,109,0,31,-109,-46000,0
ML01,3,1,1,30,1,C,0,61,0,33,-61,-35000,0
ML01,3,1,1,30,1,C,0,174,0,191,-174,-31700,0
ML01,3,1,1,30,1,C,0,124,0,151,-124,-19800,1
ML01,3,1,1,30,1,C,0,169,0,200,-169,-28500,1
ML01,3,1,1,60,1,C,0,82,0,47,-82,-58700,0
ML01,3,1,1,60,1,C,0,75,0,56,-75,-34100,0
ML01,3,1,1,60,1,C,0,72,0,90,-72,-41100,0
ML01,3,1,1,60,1,C,0,74,0,71,-74,-37600,0
ML01,3,1,1,60,1,C,0,79,0,203,-79,-19100,1
ML01,3,1,1,90,1,C,0,82,0,137,-82,-55000,0
ML01,3,1,1,90,1,C,0,116,0,16,-116,-10600,0
ML01,3,1,1,90,1,C,0,54,0,83,-54,-44000,0
ML01,3,1,1,90,1,C,0,157,0,27,-157,-51000,0
ML01,3,2,1,30,1,C,0,54,0,141,-54,-46800,0
ML01,3,2,1,30,1,C,0,162,0,44,-162,-8800,1
ML01,3,2,1,60,1,C,0,137,0,94,-137,-30100,0
ML01,3,2,1,60,1,C,0,125,0,45,-125,-61500,0
ML01,3,2,1,60,1,C,0,113,0,62,-113,-71000,0
ML01,3,2,1,60,1,C,0,88,0,125,-88,-33100,0
ML01,3,2,1,90,1,C,0,182,0,165,-182,-53300,0
ML01,3,2,1,90,1,C,0,76,0,199,-76,-69900,0
